00:30:47 |c|&Diarmuid O'Dyna|you never got your booboos cleaned at the nurses office ?? O_O
00:30:48 |c|@OriolesFan52|she means rubbing alcohol i hope
00:30:51 |c|&Diarmuid O'Dyna|yeah lmfao
00:30:52 |c| EmperorGaming|i dont like pain
00:30:55 |c| EmperorGaming|oh
00:31:00 |c| EmperorGaming|it kinda hurts
00:31:07 |c|&Diarmuid O'Dyna|it makes me kind of horny is that weird
00:31:10 |c|&Diarmuid O'Dyna|my bf says its weird
00:31:11 |c| EmperorGaming|stings abit but thats all
00:31:26 |c|@OriolesFan52|yes thats weird dyna :3
00:31:29 |c|&Diarmuid O'Dyna|i oh
00:31:37 |c|&Diarmuid O'Dyna|orioles
00:31:43 |c|&Diarmuid O'Dyna|orioles is not retarded
00:31:49 |c|@OriolesFan52|thanks
00:31:57 |c|&Diarmuid O'Dyna|i have no idea hwy i said that originally
00:31:57 |c|@OriolesFan52|lolololo
00:31:57 |c| EmperorGaming|rubbing alcohol makes you horny
00:32:02 |c| EmperorGaming|that is wierd
00:32:03 |c|&Diarmuid O'Dyna|or why i still find it funny
00:32:04 |c|&Diarmuid O'Dyna|but i do
00:32:10 |c|&Diarmuid O'Dyna|no, pain makes me horny
00:32:11 |c|&Diarmuid O'Dyna|idk
00:32:35 |c| EmperorGaming|thats the wierdest thing i have herd all day tbh
00:32:45 |c|&Diarmuid O'Dyna|!u masochist
00:32:45 |html|<div class="infobox"><b>masochist:</b> Someone who obtains sexual gratification from being physically or emotionally abused, humiliated or mistreated, either by another or by oneself.</div>
00:32:50 |c| EmperorGaming|i know
00:33:06 |c| EmperorGaming|i dident know it was a thing intill today
00:33:20 |c|&Diarmuid O'Dyna|book candle book
00:34:02 |c|&Diarmuid O'Dyna|book candle penguin book holding in the underground i find it sniper
00:34:06 |c|&Diarmuid O'Dyna|take each one again?!
00:34:14 |c|@OriolesFan52|well unfortunately i have Coccinellidaephobia
00:34:15 |c|&Diarmuid O'Dyna|how many oh yeah if i carve it all out i can run nothing will yeahhhh
00:34:29 |c|&Diarmuid O'Dyna|i can hear the ducks quacking
00:34:57 |c|@OriolesFan52|!define Coccinellidaephobia
00:34:57 |html|<div class="infobox">No results for <b>"coccinellidaephobia"</b>.</div>
00:34:59 |c|&Diarmuid O'Dyna|i can hear the ducks quacking
00:35:03 |c|&Diarmuid O'Dyna|fear of ladybugs
00:35:09 |c|@OriolesFan52|yup
00:35:12 |c|&Diarmuid O'Dyna|run biologic run
00:35:14 |c|&Diarmuid O'Dyna|run 
00:35:16 |c|&Diarmuid O'Dyna|vive gaspar
00:35:34 |l| Graviola
00:35:58 |c|&Diarmuid O'Dyna|by ravioli
00:36:15 |c|&Diarmuid O'Dyna|wait comfortable for the butterflies
00:36:16 |c|&Diarmuid O'Dyna|and ransei
00:36:27 |c|&Diarmuid O'Dyna|it cant spread thru clauy
00:37:08 |c|&Diarmuid O'Dyna|i dont like horses theyre too tall and pretend to care about your feelings
00:37:12 |c|@OriolesFan52|!u gibberish
00:37:13 |html|<div class="infobox"><b>Gibberish:</b> 1.Total nonsense talk, unintelligible or foreign language. 2.Communication using various noises, illegitimate words, nonsense or sounds. 3. Sentence, phrase or general communication not making sense, sometimes induced by several days of smoking crack or other substance.</div>
00:37:30 |c|&Diarmuid O'Dyna|a "red squirel"
00:37:40 |c|@OriolesFan52|stop using that dyna lel
00:37:47 |l| Taveena
00:37:51 |c|&Diarmuid O'Dyna|by tavern
00:38:01 |c|&Diarmuid O'Dyna|taverncackle
00:38:04 |n| Taverncackle|diarmuidodyna
00:38:05 |c| Taverncackle|LOL
00:38:13 |n| Taverncackle|taverncackle
00:38:13 |n| Taverncackle|taverncackle
00:38:17 |n| Tavernacle|taverncackle
00:38:20 |n| Tavernkeep|tavernacle
00:38:24 |n| The STylist|tavernkeep
00:38:28 |n| The Stylist|thestylist
00:38:33 |n| Feraligatr Dick|oriolesfan52
00:38:35 |n| The Stylist|thestylist
00:38:37 |c| Feraligatr Dick|hi
00:38:39 |n| Die Trader|thestylist
00:38:45 |n| Dye Trader|dietrader
00:38:51 |n| lmaowe|dyetrader
00:38:52 |c| lmaowe|lol
00:38:53 |c| lmaowe|oops
00:38:57 |l|lmaowe
00:39:01 |n| EmperorFailing|emperorgaming
00:39:03 |j| The Stylist
00:39:04 |c| The Stylist|no
00:39:06 |l|thestylist
00:39:10 |userstats|total:4|guests:0| :2|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
00:39:17 |c| EmperorFailing|she just left D:
00:39:29 |c| Feraligatr Dick|like my name lel
00:39:37 |c| EmperorFailing|yeah its p lit
00:40:21 |n|@OriolesFan52|feraligatrdick
00:41:17 |j|&Diarmuid O'Dyna
00:41:18 |c|*BatterBotto|Welcome Diarmuid, noble knight of Fianna!
00:41:19 |c|&Diarmuid O'Dyna|back
00:41:26 |c|&Diarmuid O'Dyna|i was trying to find a name
00:41:37 |c| EmperorFailing|darnet i thought she was gone :(
00:41:51 |c| EmperorFailing|lol
00:41:55 |c|&Diarmuid O'Dyna|;-;
00:41:59 |c| EmperorFailing|like my name :D
00:42:02 |n| Donkey Dong 69|oriolesfan52
00:42:04 |c|&Diarmuid O'Dyna|yes
00:42:09 |c| Donkey Dong 69|this is even better
00:42:15 |c| EmperorFailing|lmfao
00:42:26 |j| getttttttt
00:42:29 |c| getttttttt|nah
00:42:31 |l|getttttttt
00:42:50 |j| haxorusss
00:42:52 |c| haxorusss|meh
00:42:57 |n|@OriolesFan52|donkeydong69
00:42:57 |c| haxorusss|i dont like haxorus enough to reg this
00:42:59 |c| EmperorFailing|rember that time where i said lmfap xP
00:42:59 |l|haxorusss
00:43:07 |c|&Diarmuid O'Dyna|let me fap
00:43:10 |raw|-- <font color='#B7389F'><strong>OriolesFan52</strong></font> is now eat.
00:43:10 |n|@OriolesFan52 - ⓔⓐⓣ|oriolesfan52
00:43:10 |n|@OriolesFan52 - ⓔⓐⓣ|oriolesfan52
00:43:21 |j| zarrrrrrrkkk
00:43:27 |j| aCasualMemeLord
00:43:29 |c| zarrrrrrrkkk|wtf am i even doing NO ORIOLES DONT LEVE ME
00:43:29 |c| EmperorFailing|how do you make it say that
00:43:43 |c| zarrrrrrrkkk|zuh-ark i guess
00:43:47 |c| zarrrrrrrkkk|say what
00:43:53 |c| zarrrrrrrkkk|oh just do /away wahtever
00:43:57 |n| zarrrrrrrkkk - ⓟⓞⓞ|zarrrrrrrkkk
00:43:57 |n| zarrrrrrrkkk - ⓟⓞⓞ|zarrrrrrrkkk
00:43:59 |c| EmperorFailing|-- OriolesFan52 is now eat.
00:44:00 |n| zarrrrrrrkkk|zarrrrrrrkkk
00:44:00 |n| zarrrrrrrkkk|zarrrrrrrkkk
00:44:05 |l| zarrrrrrrkkk
00:44:09 |c| EmperorFailing|it wont say that if i /away
00:44:15 |c| EmperorFailing|is that mod only?
00:44:16 |c|&Diarmuid O'Dyna|yeah cause ur not staff
00:44:20 |c|&Diarmuid O'Dyna|i think it sdeiver up
00:44:23 |c|&Diarmuid O'Dyna|hi memelord
00:44:27 |raw|<div class='chat'><small>&</small><button name='parseCommand' value='/user Diarmuid O'Dyna' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#CE35C6'>Diarmuid O'Dyna:</font></b></button><em class='mine'><img src="http://i.imgur.com/pqkCFZx.png" title="feelsdyna" width="50" height="50" /></em></div>
00:44:52 |c|&Diarmuid O'Dyna|U FUCK WITH ME I TAKE YOU
00:44:55 |c|&Diarmuid O'Dyna|nigga
00:44:57 |c| EmperorFailing|me
00:45:13 |c| EmperorFailing|wtf just happend
00:45:24 |c|&Diarmuid O'Dyna|i feel like im constantly on every drug ever
00:45:28 |c|&Diarmuid O'Dyna|but im straightedge
00:45:43 |c| EmperorFailing|oh ke
00:45:50 |c|&Diarmuid O'Dyna|i like this pen and i cannot lie
00:45:52 |c|&Diarmuid O'Dyna|wait
00:46:23 |c| EmperorFailing|what pen
00:46:26 |c|&Diarmuid O'Dyna|i like big nuts and i cannot lie, the rest'ya sistas cant deny, when a man walks in with a big ol saggy sack and its swinin from the back you get wet 
00:46:32 |c|&Diarmuid O'Dyna|i feel uncomfortable for having written that
00:46:53 |c|&Diarmuid O'Dyna|+addquote [19:46:26] &Diarmuid O'Dyna: i like big nuts and i cannot lie, the rest'ya sistas cant deny, when a man walks in with a big ol saggy sack and its swinin from the back you get wet [19:46:32] &Diarmuid O'Dyna: i feel uncomfortable for having written that
00:46:53 |c|*OutrageousBoT|The quote has been added.
00:46:54 |c| EmperorFailing|i feal uncomfortable for reading that
00:47:02 |c|&Diarmuid O'Dyna|yeah i cant blame u
00:47:37 |c| EmperorFailing|this is my trolling acc :)
00:48:03 |c|&Diarmuid O'Dyna|i repaid my friend in porn after spamming him with gifs of L from death note shaking uncontrollably
00:48:16 |c| EmperorFailing|arceus>Magikarp
00:48:19 |c|&Diarmuid O'Dyna|+addquote [19:48:03] &Diarmuid O'Dyna: i repaid my friend in porn after spamming him with gifs of L from death note shaking uncontrollably
00:48:20 |c|*OutrageousBoT|The quote has been added.
00:48:24 |c|&Diarmuid O'Dyna|im just full of them tonight
00:48:36 |c| EmperorFailing|of quotes?
00:48:46 |c|&Diarmuid O'Dyna|why the fuck does N just give you zekrom
00:48:48 |c|&Diarmuid O'Dyna|or reshi
00:48:58 |c|&Diarmuid O'Dyna|like hes clearly had a long relationship with them
00:49:00 |c|&Diarmuid O'Dyna|yeah you beat him 
00:49:02 |c| EmperorFailing|eacause hes an idiot?
00:49:10 |userstats|total:6|guests:0| :2|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:1|~:0|⚔:0
00:49:11 |c|&Diarmuid O'Dyna|buyt he never says anything about the pokemon saying they want to be with you
00:49:16 |c|&Diarmuid O'Dyna|and NNNNOOO N is my waifu
00:49:27 |c| EmperorFailing|O_O
00:49:37 |c|&Diarmuid O'Dyna|zekrom sounds so sad when N gives him away
00:49:48 |c|&Diarmuid O'Dyna|hes like "i want you to hekp this trainer from now on" and zekroms just like "Bazz..."
00:49:53 |c| EmperorFailing|:'(
00:50:00 |c|&Diarmuid O'Dyna|"i know. i'll miss you, too..."
00:50:15 |c|&Diarmuid O'Dyna|"so... rest well."
00:50:22 |c| EmperorFailing|now im sad 
00:50:24 |c|&Diarmuid O'Dyna|its fucking sad
00:50:28 |c| EmperorFailing|THANKS ALOT
00:50:29 |c|&Diarmuid O'Dyna|yeah i never realised it before
00:50:34 |c|&Diarmuid O'Dyna|i usually just spam thru it
00:50:42 |c| EmperorFailing|same lol
00:50:44 |c|&Diarmuid O'Dyna|but now i'm sad
00:50:52 |c| EmperorFailing|...
00:51:01 |c| EmperorFailing|^^...^^
00:51:02 |c|&Diarmuid O'Dyna|jeez N
00:51:11 |c| EmperorFailing|\\...\\
00:51:23 |c|&Diarmuid O'Dyna|...N's story is really sad when u think about it
00:51:28 |c| EmperorFailing|yeah
00:51:31 |n|@OriolesFan52|oriolesfan52
00:51:31 |n|@OriolesFan52|oriolesfan52
00:51:31 |raw|-- <font color='#B7389F'><strong>OriolesFan52</strong></font> is no longer eat.
00:51:38 |c|&Diarmuid O'Dyna|ghetsis was kind of a dick
00:51:40 |c|&Diarmuid O'Dyna|!u ghetsis
00:51:40 |html|<div class="infobox">No results for <b>"ghetsis"</b>.</div>
00:51:41 |c| EmperorFailing|go back to eat
00:51:43 |c|&Diarmuid O'Dyna|bull
00:52:05 |c|&Diarmuid O'Dyna|hi orioles
00:52:14 |c|&Diarmuid O'Dyna|orioles ransei is my main bitch but will you be my side bitch 
00:52:19 |c|&Diarmuid O'Dyna|<3
00:52:28 |c|&Diarmuid O'Dyna|....and other comments
00:52:30 |c|&Diarmuid O'Dyna|by charlotte
00:52:43 |c|&Diarmuid O'Dyna|LOL I HAD FORGOTTEN TO EVER TALK TO THE MEDAL GUY
00:52:47 |c|&Diarmuid O'Dyna|and i just got to end game
00:52:52 |c|@OriolesFan52|<3
00:52:54 |c|&Diarmuid O'Dyna|and now hes like freaking out giving me medals
00:53:00 |c|&Diarmuid O'Dyna|hes been giving me medals for the past 2 minutes
00:53:07 |c| EmperorFailing|lol
00:53:15 |c|&Diarmuid O'Dyna|f+q
00:53:17 |c|&Diarmuid O'Dyna|+q
00:53:17 |c|*OutrageousBoT|[04:50:38] @Ransei: When I was that sand castle Pokemon my reaction in my mind was "Ok this is ridiculous" People are going to hate that thing so much.
00:53:25 |c|&Diarmuid O'Dyna|+q
00:53:25 |c|*OutrageousBoT|[17:32:10] @OriolesFan52: i broke my foot when it was asleep and didnt even feel it
00:53:28 |c|&Diarmuid O'Dyna|+q
00:53:29 |c|*OutrageousBoT|&Spookuaza: Spandan &Spookuaza: have you ever made a jacket?&Spookuaza: Spandan, my jacket is made in India .3. %Spandan: uh • %Spandan is sad because Snaquaza thinks his jacket was made by Spandan
00:53:30 |c|&Diarmuid O'Dyna|+q
00:53:30 |c|*OutrageousBoT|+flufi~(˘▾˘~) has 4 Dragon Dollars. $flufi~(˘▾˘~): I can buy California with this
00:53:32 |c|&Diarmuid O'Dyna|+q
00:53:32 |c|*OutrageousBoT|FlareonDriod has won the match 0 - 0 against BatterBotto.
00:53:34 |c|&Diarmuid O'Dyna|+q
00:53:34 |c|*OutrageousBoT|&charizard8888: For Text we have Pastebin/Hastebin, For Images , imgur/Light Shot now for music Eternal Mayhem is going to make **DubTrap**
00:53:36 |c|&Diarmuid O'Dyna|+q
00:53:36 |c|*OutrageousBoT|[18:28:34] %Spects: I steal may things
00:53:38 |c|&Diarmuid O'Dyna|+q
00:53:38 |c|*OutrageousBoT|XpRienzo: **Goratzo [Username!]** (like Loominite :P)
00:53:41 |c|&Diarmuid O'Dyna|+q
00:53:41 |c|*OutrageousBoT|@The Fallen Curse: You cant kill what's ................ ded inside
00:53:44 |c|&Diarmuid O'Dyna|+q
00:53:44 |c|*OutrageousBoT|@Digital Edge: Im with 2 skrub bots, 1 meme bot and one me
00:53:45 |c|&Diarmuid O'Dyna|+q
00:53:45 |c|*OutrageousBoT|FlareonDriod has won the match 0 - 0 against BatterBotto.
00:53:48 |c|&Diarmuid O'Dyna|i miss digi
00:54:02 |c|&Diarmuid O'Dyna|+q
00:54:02 |c|*OutrageousBoT|&PI EddyChomp: the command is ebat
00:54:04 |c|&Diarmuid O'Dyna|+q
00:54:04 |c|*OutrageousBoT|@The Fallen Curse: You cant kill what's ................ ded inside
00:54:05 |c|&Diarmuid O'Dyna|+q
00:54:06 |c|*OutrageousBoT|90, [08:49:34] %The Succubus: Come on really though, I wasn't that drunk. [08:49:51] &Diarmuid O'Dyna: DUDE YOU WERE YELLING "CALL ME DJ NOT NICE I EAT NO FOOD BUT RICE ANCIENT KOREAN RECIPE I GET FROM JESUS CHRIST"
00:54:07 |c|&Diarmuid O'Dyna|+q
00:54:07 |c|*OutrageousBoT|44, [16:33:57] &Diarmuid O'Dyna: i feel like this server is a reverse harem with me as the alpha female
00:54:11 |c|&Diarmuid O'Dyna|YES
00:55:00 |c| EmperorFailing|dooooooooooooooo nnnnnooooooooooootttttttttt streachhhhhhhh cccccchhhhhhhaaaaaarrrrriiiiiiccccttttttteeeerrrrrrssss
00:55:07 |c| EmperorFailing|:P
00:55:10 |c|&Diarmuid O'Dyna|srsly tho
00:55:16 |j| Ransei
00:55:16 |c|*BatterBotto|The legend has arrived O:
00:55:16 |html|<div class="infobox"><center><div style="background-color:black;color:#00FF7F;border: 8px solid #00FF7F;font-size:32px;">Prepare for a raging tempest!!! <br>The God of the skies is here!!!</div><img src="https://67.media.tumblr.com/b0e2a2175465ebc2135017f68de75096/tumblr_ny0l6gw63K1u4nr1co2_500.gif" width="500" height="241"></center><audio controls="" src="http://66.90.91.26/ost/pokemon-conquest/ebpgdfxpjs/01-main-theme.mp3" style="width: 99.6% ; border: 0px solid ; cursor: url(&quot;http://www.serebii.net/conquest/pokemon/icon/384.png&quot;) , auto ; background-color: #606060">Your user agent does not support the HTML5 Audio element.</audio></div>
00:55:17 |c| EmperorFailing|that was a warning
00:55:19 |c|&Diarmuid O'Dyna|RANSEI
00:55:21 |c|&Diarmuid O'Dyna|/me warns 
00:55:23 |c|&Diarmuid O'Dyna|wait
00:55:23 |c| Ransei|DYNA
00:55:24 |c|&Diarmuid O'Dyna|/me hugs
00:55:25 |c|&Diarmuid O'Dyna|i meant hugs
00:55:28 |c|&Diarmuid O'Dyna|but i said warns
00:55:28 |c| EmperorFailing|next time you will grt muted
00:55:29 |c|&Diarmuid O'Dyna|OMG GUYS 
00:55:33 |c|&Diarmuid O'Dyna|i almost stabbed myself today
00:55:39 |c| EmperorFailing|she did
00:55:41 |c| Ransei|.....?
00:55:49 |c|&Diarmuid O'Dyna|i was cutting my pizza that i had just taken from the oven
00:55:53 |c| EmperorFailing|i was a victim
00:55:57 |c| EmperorFailing|oh
00:56:01 |c| EmperorFailing|nvm
00:56:07 |c|&Diarmuid O'Dyna|and i burned my finger, threw my pizza in shock when i pulled back, and somehow stabbed myself through my sweatshurt
00:56:12 |c| EmperorFailing|i thought the nose thing
00:56:15 |c|&Diarmuid O'Dyna|ALMOST to my stomach
00:56:22 |c|&Diarmuid O'Dyna|it was kind of terrifying
00:56:25 |c|&Diarmuid O'Dyna|the pizza was good tho
00:56:33 |c| EmperorFailing|nice
00:56:40 |c| EmperorFailing|/me gives a thumbs up
00:57:12 |c|@OriolesFan52|i feel lonely.. im the only active moderator
00:57:16 |c|&Diarmuid O'Dyna|route 8
00:57:20 |c|&Diarmuid O'Dyna|i'm a leader
00:57:44 |c| EmperorFailing|Diarmuid O'Dyna: you look like my gay friend
