Elo	Username	W	L	T	Last update
1045	Fuck psd	1	0	0	Wed Mar 08 2017 04:55:48 GMT+0000 (UTC)
1000	KhanShotFirst	0	1	0	Wed Mar 08 2017 04:55:48 GMT+0000 (UTC)
