Elo	Username	W	L	T	Last update
1045	Bowser20012	1	0	0	Fri Apr 28 2017 20:42:33 GMT+0000 (UTC)
1000	zayven	0	1	0	Fri Apr 28 2017 20:42:33 GMT+0000 (UTC)
