Elo	Username	W	L	T	Last update
1045	Yahooboo	1	0	0	Sun Feb 12 2017 11:20:53 GMT+0000 (UTC)
1000	charizard8888	0	1	0	Sun Feb 12 2017 11:20:53 GMT+0000 (UTC)
