Elo	Username	W	L	T	Last update
1045	drew	1	0	0	Thu Mar 23 2017 22:03:59 GMT+0000 (UTC)
1000	damagedealerdre	0	1	0	Thu Mar 23 2017 22:03:59 GMT+0000 (UTC)
