Elo	Username	W	L	T	Last update
1045	charizard8888	1	0	0	Mon Sep 05 2016 12:16:17 GMT+0000 (UTC)
1000	BatterBotto	0	1	0	Mon Sep 05 2016 12:16:17 GMT+0000 (UTC)
