Elo	Username	W	L	T	Last update
1080.2835602905259	charizard8888	2	0	0	Sat Oct 29 2016 07:39:57 GMT+0000 (UTC)
1045	Snaquaza	1	0	0	Tue Sep 20 2016 05:41:13 GMT+0000 (UTC)
1045	Snaq (	1	0	0	Mon Sep 19 2016 05:09:09 GMT+0000 (UTC)
1045	Sunakku Senpai	1	0	0	Sat Sep 17 2016 10:13:04 GMT+0000 (UTC)
1000	BatterBotto	0	5	0	Sat Oct 29 2016 07:39:57 GMT+0000 (UTC)
