Elo	Username	W	L	T	Last update
1220.2287372449416	AbysmalBot	9	2	0	Sat Dec 24 2016 07:52:00 GMT+0000 (UTC)
1171.7382217342968	BatterBotto	12	9	1	Fri Dec 30 2016 13:55:01 GMT+0000 (UTC)
1105.1741458720608	abd1710	2	0	0	Sat Dec 31 2016 14:50:23 GMT+0000 (UTC)
1099.7668396135132	Abyssal Bot	4	14	0	Sat Dec 24 2016 08:46:17 GMT+0000 (UTC)
1075.3332770770019	Spandan	3	5	0	Sat Dec 31 2016 14:50:23 GMT+0000 (UTC)
1052.969997370211	charizard8888	1	0	1	Sat Dec 24 2016 07:21:55 GMT+0000 (UTC)
1000	BBgun999 💲💲💲	0	1	0	Fri Dec 30 2016 13:55:01 GMT+0000 (UTC)
