Elo	Username	W	L	T	Last update
1050.7960441216378	Azap	1	0	0	Tue Feb 28 2017 23:05:48 GMT+0000 (UTC)
1034.276390685432	BatSol	1	1	0	Tue Feb 28 2017 23:05:48 GMT+0000 (UTC)
1000	Nick the Tick	0	1	0	Tue Feb 28 2017 19:24:58 GMT+0000 (UTC)
