Elo	Username	W	L	T	Last update
1045	RadVik	1	0	0	Sat Apr 01 2017 05:59:41 GMT+0000 (UTC)
1000	Psychocandy	0	1	0	Sat Apr 01 2017 05:59:41 GMT+0000 (UTC)
