Elo	Username	W	L	T	Last update
1045	Nahtanojrepus	1	0	0	Wed Jan 11 2017 21:52:09 GMT+0000 (UTC)
1000	jasprose❄	0	1	0	Wed Jan 11 2017 21:52:09 GMT+0000 (UTC)
