Elo	Username	W	L	T	Last update
1045	Cheese555	1	0	0	Fri Mar 31 2017 22:28:02 GMT+0000 (UTC)
1000	Mr. McMeme	0	1	0	Fri Mar 31 2017 22:28:02 GMT+0000 (UTC)
