Elo	Username	W	L	T	Last update
1045	ButterDoge	1	0	0	Tue Mar 21 2017 01:09:19 GMT+0000 (UTC)
1045	MR.Trex	1	0	0	Thu Mar 09 2017 00:25:05 GMT+0000 (UTC)
1045	yveltalsdoom	1	0	0	Wed Mar 08 2017 23:05:07 GMT+0000 (UTC)
1045	anon171	1	0	0	Sun Mar 05 2017 01:02:17 GMT+0000 (UTC)
1000	TeamJerkOff	0	1	0	Tue Mar 21 2017 01:09:19 GMT+0000 (UTC)
1000	rojo 123456789	0	1	0	Thu Mar 09 2017 00:25:05 GMT+0000 (UTC)
1000	Vlogger Joe	0	1	0	Wed Mar 08 2017 23:05:07 GMT+0000 (UTC)
1000	Mistress Midnight	0	1	0	Sun Mar 05 2017 01:02:17 GMT+0000 (UTC)
